ID,Title,Description,ErrorCode,Severity,Resolution,Resolved By,Resolution Time
d7b8bb6c-b4bc-4c9d-a74a-9a22cf08bcd4,Laptop,Laptop not booting up,N/A,High,"1. Checked the power adapter and ensured it was providing the correct voltage. 2. Replaced faulty RAM module. 3. Reset BIOS settings to default. 4. Booted successfully after replacing RAM.",Technician A,1 hour
b214bc44-38d2-490e-bc50-75eddb3a0385,Desktop,Monitor display flickering,N/A,Medium,"1. Checked the power cables and ensured stable connection. 2. Updated the graphics drivers. 3. Replaced the VGA/HDMI cable. 4. Monitor display stabilized after replacing the cable and updating drivers.",Technician B,45 minutes
49f35fbb-10da-4a35-98ca-e407fc9fe92e,Printer,Printer not responding,N/A,Medium,"1. Restarted the printer spooler service from the command line. 2. Checked network settings and ensured printer was connected to the right Wi-Fi network. 3. Ran the printer’s self-diagnostic tool to confirm no hardware issues.",Technician C,30 minutes
2d85b043-d4b7-4c9d-9542-91ab0d55859a,Laptop,Laptop overheating,N/A,High,"1. Opened the laptop and cleaned the internal fans using compressed air. 2. Re-applied thermal paste to the CPU. 3. Tested the system under load; temperatures normalized after reapplication of thermal paste and fan cleaning.",Technician D,2 hours
f0153d53-b6b9-45c9-9703-0e982f7f5c67,Server,Server running slow,N/A,High,"1. Checked system performance using Task Manager and identified memory and CPU bottlenecks. 2. Upgraded RAM by adding 16GB additional memory. 3. Optimized database queries to reduce CPU usage. 4. Performance improved after memory upgrade and query optimization.",Technician E,3 hours
d6e8d83d-3c9e-4f12-8d8b-835b54e92787,Desktop,Blue screen error while booting,0x0000007B,Critical,"1. Booted into Safe Mode to analyze the error. 2. Found corrupt system files and repaired them using `chkdsk` command. 3. Reinstalled the operating system after confirming that file corruption was too severe for repair. 4. Replaced the hard drive due to failure. 5. Reinstalled all applications.",Technician F,4 hours
a1b17429-0d7f-4d08-9c06-e3015289f71d,Printer,Printer out of paper error,N/A,Low,"1. Opened the paper tray, and checked for any paper jams. 2. Refilled paper tray. 3. Ran a printer self-test to ensure functionality. 4. Printer began working properly after tray refill.",Technician G,15 minutes
51cd7595-6cf0-48ea-81a3-b6e8a9183947,Laptop,Wi-Fi not connecting,N/A,Medium,"1. Rebooted laptop and router to rule out connectivity issues. 2. Reinstalled wireless drivers from the device manager. 3. Reset the router’s settings to default. 4. Connected to Wi-Fi after resetting router and updating drivers.",Technician H,1 hour
f33e16b0-9ec3-4b8a-b1c8-d1a262afc0cf,Desktop,No sound from speakers,N/A,Low,"1. Checked the audio settings in Control Panel and confirmed that speakers were set as default device. 2. Updated sound card drivers. 3. Rebooted the system. 4. Sound restored after driver update.",Technician I,30 minutes
caed8e0d-51d3-4f87-a2d0-2cf3ff13a8a3,Server,RAID array degraded,N/A,Critical,"1. Checked the RAID configuration using the management console. 2. Identified failed disk in the RAID array. 3. Replaced the failed disk with a new one. 4. Rebuilt the RAID configuration. 5. Ensured all data was intact and RAID array was functional.",Technician J,5 hours
11a1a2b1-bdf1-41ac-91f7-b27b4a0de888,Workstation,Keyboard not responding,N/A,Low,"1. Checked USB ports by connecting another working device. 2. Replaced the keyboard with a known working one. 3. Rebooted the system and checked if the keyboard responded. 4. Issue was resolved after replacing the keyboard.",Technician K,20 minutes
90ba7da3-251f-48e5-96a0-c8b964b28f64,Laptop,Battery not charging,N/A,High,"1. Checked charging port for physical damage. 2. Tested with another compatible charger. 3. Replaced the laptop’s battery. 4. Confirmed the battery was charging properly after replacement.",Technician L,2 hours
32c774c7-17c3-49b0-a10c-31c1756b9a68,Desktop,Slow performance after OS upgrade,N/A,Medium,"1. Cleaned up startup items using Task Manager. 2. Ran disk cleanup and defragmented the hard drive. 3. Upgraded the system's RAM by adding 8GB. 4. Optimized the OS settings for better performance. 5. Performance significantly improved after upgrades and optimizations.",Technician M,1.5 hours
eb8f5243-c992-4c63-93a9-5011f1cc39a5,Printer,Print quality poor (faded prints),N/A,Medium,"1. Ran a diagnostic print test from the printer’s menu. 2. Replaced the toner cartridge with a new one. 3. Cleaned the printer’s internal components. 4. Prints returned to normal quality after replacement and cleaning.",Technician N,1 hour
5ab1f1e2-6e83-44d1-bbe7-ded4df2e5e30,Laptop,Screen flickering and artifacts,N/A,High,"1. Verified that the issue was not related to the cable by testing with an external monitor. 2. Replaced the faulty graphics card. 3. Reinstalled the display drivers. 4. Issue resolved after hardware replacement and driver updates.",Technician O,2 hours
7f16dbf5-233d-4f9a-a93f-88c27307d118,Desktop,Computer randomly shuts down,N/A,Critical,"1. Checked system logs for hardware failure. 2. Tested the PSU (Power Supply Unit) and found it was failing. 3. Replaced the PSU with a new one. 4. Ensured system stability after PSU replacement.",Technician P,3 hours
